log_time,fuente,hora_inicio,hora_fin,registros,archivo,duracion_segundos,resultado,error,mensaje
2025-05-31 13:50:21+02:00,RAWG,11:49:44,11:50:21,800,rawg_games.parquet,36.47,Éxito,,2025-05-31 11:50:21 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 11:49:44 | 🕕 Fin: 11:50:21 | 📊 Registros: 800 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 36.47 s | 📌 Resultado: Éxito
2025-05-31 13:52:53+02:00,Giant Bomb,11:50:21,11:52:53,2000,giantbomb_games.parquet,152.2,Éxito,,2025-05-31 11:52:53 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 11:50:21 | 🕕 Fin: 11:52:53 | 📊 Registros: 2000 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 152.2 s | 📌 Resultado: Éxito
2025-05-31 13:52:53+02:00,Pokémon Showdown - Pokedex,11:52:53,11:52:53,1425,pokemon_pokedex.parquet,0.52,Éxito,,2025-05-31 11:52:53 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 11:52:53 | 🕕 Fin: 11:52:53 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.52 s | 📌 Resultado: Éxito
2025-05-31 13:52:54+02:00,Pokémon Showdown - Ladder,11:52:53,11:52:54,500,pokemon_ladder.parquet,0.19,Éxito,,2025-05-31 11:52:54 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 11:52:53 | 🕕 Fin: 11:52:54 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.19 s | 📌 Resultado: Éxito
2025-05-31 13:52:54+02:00,Pokémon Showdown - Moves,11:52:54,11:52:54,952,pokemon_moves.parquet,0.41,Éxito,,2025-05-31 11:52:54 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 11:52:54 | 🕕 Fin: 11:52:54 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.41 s | 📌 Resultado: Éxito
2025-05-31 14:00:05+02:00,RAWG,11:57:23,12:00:05,4000,rawg_games.parquet,162.27,Éxito,,2025-05-31 12:00:05 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 11:57:23 | 🕕 Fin: 12:00:05 | 📊 Registros: 4000 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 162.27 s | 📌 Resultado: Éxito
2025-05-31 14:14:13+02:00,Giant Bomb,12:00:05,12:14:13,10000,giantbomb_games.parquet,848.32,Éxito,,2025-05-31 12:14:13 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 12:00:05 | 🕕 Fin: 12:14:13 | 📊 Registros: 10000 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 848.32 s | 📌 Resultado: Éxito
2025-05-31 14:14:13+02:00,Pokémon Showdown - Pokedex,12:14:13,12:14:13,1425,pokemon_pokedex.parquet,0.32,Éxito,,2025-05-31 12:14:13 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 12:14:13 | 🕕 Fin: 12:14:13 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.32 s | 📌 Resultado: Éxito
2025-05-31 14:14:14+02:00,Pokémon Showdown - Ladder,12:14:13,12:14:14,500,pokemon_ladder.parquet,0.19,Éxito,,2025-05-31 12:14:14 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 12:14:13 | 🕕 Fin: 12:14:14 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.19 s | 📌 Resultado: Éxito
2025-05-31 14:14:14+02:00,Pokémon Showdown - Moves,12:14:14,12:14:14,952,pokemon_moves.parquet,0.33,Éxito,,2025-05-31 12:14:14 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 12:14:14 | 🕕 Fin: 12:14:14 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.33 s | 📌 Resultado: Éxito
